speech 1 |thank*1|
spending in |2011*1|
in 2011 |our*1|
2011 our |military*1|
is depleted |and*1|
depleted and |we’re*1|
we’re asking |our*1|
asking our |generals*1|
our generals |and*1|
generals and |military*1|
and military |leaders*1|
military leaders |to*1|
leaders to |worry*1|
to worry |about*1|
worry about |global*1|
about global |warming*1|
global warming |we*1|
warming we |will*1|
will spend |what*1|
spend what |we*1|
military it |is*1|
the cheapest |single*1|
cheapest single |investment*1|
single investment |we*1|
investment we |can*1|
make we |will*1|
will develop |build*1|
develop build |and*1|
build and |purchase*1|
and purchase |the*1|
purchase the |best*1|
best equipment |and*1|known*1|
equipment known |to*1|
to mankind |our*1|
mankind our |military*1|
military dominance |must*1|
dominance must |be*1|
be unquestioned |and*1|
unquestioned and |i*1|
mean unquestioned |by*1|
unquestioned by |anybody*1|
by anybody |and*1|
anybody and |everybody*1|
everybody but |much*1|we*1|
will look |for*1|
look for |savings*1|talented*1|
for savings |and*1|
savings and |spend*1|
and spend |our*1|
spend our |money*1|
our money |and*1|right*1|wisely*1|
money wisely |in*1|
wisely in |this*1|
time of |mounting*1|
of mounting |debt*1|
mounting debt |right*1|
debt right |now*1|
much debt |that*1|
debt that |nobody*1|
even knows |how*1|
to address |the*1|
address the |problem*1|
problem but |i*1|
no one |dollar*1|
one dollar |can*1|
dollar can |be*1|we*1|
be wasted |not*1|
wasted not |one*1|
not one |single*1|
one single |dollar*1|
single dollar |can*1|
can we |waste*1|
we waste |we’re*1|
waste we’re |also*1|
we’re also |going*1|
also going |to*1|
to change |our*1|
change our |trade*1|
our trade |immigration*1|
trade immigration |and*1|
and economic |policies*1|
economic policies |to*1|
policies to |make*1|
economy strong |again*1|
and to |put*1|this*1|watch*1|
to put |10*1|20*1|americans*1|its*1|that*1|
put americans |first*1|
americans first |again*1|
first again |on*1|this*1|
will ensure |that*1|
ensure that |our*1|
that our |own*1|
own workers |right*1|
workers right |here*1|
right here |in*1|
here in |america*1|
in america |get*1|
america get |the*1|
the jobs |and*1|incomes*1|
and higher |pay*1|
higher pay |that*1|
pay that |will*1|
will grow |our*1|
grow our |tax*1|
our tax |revenues*1|
tax revenues |increase*1|
revenues increase |our*1|
increase our |economic*1|
our economic |might*1|
economic might |as*1|
might as |a*1|
nation make |us*1|
make us |strong*1|
us strong |financially*1|
strong financially |again*1|
financially again |so*1|
so so |important*2|
so important |and*1|speech*1|we*1|
important we |need*1|
think smart |about*1|
smart about |areas*1|
about areas |where*1|
areas where |our*1|
where our |technological*1|
our technological |superiority*1|
technological superiority |and*1|
superiority and |nobody*1|
nobody comes |close*1|
comes close |gives*1|
close gives |us*1|
gives us |an*1|
us an |edge*1|
an edge |this*1|
edge this |includes*1|
this includes |3d*1|
includes 3d |printing*1|
3d printing |artificial*1|
printing artificial |intelligence*1|
artificial intelligence |and*1|
intelligence and |cyber*1|
and cyber |warfare*1|
cyber warfare |a*1|
warfare a |great*1|
great country |also*1|
country also |takes*1|
takes care |of*2|
care of |its*1|me*1|our*3|you*1|
of its |warriors*1|
its warriors |our*1|
warriors our |commitment*1|
our commitment |to*1|
commitment to |them*1|
them is |absolute*1|
is absolute |and*1|
absolute and |i*1|
mean absolute |a*1|
absolute a |trump*1|
give our |servicemen*1|
our servicemen |and*1|
servicemen and |women*1|
and women |the*1|
women the |best*1|
equipment and |support*1|
and support |in*1|
support in |the*1|
world when |they*2|
when they |lose*1|return*1|serve*1|
they serve |and*2|
serve and |the*1|where*1|
and where |they*1|
best care |in*1|
care in |the*1|
they return |as*1|
return as |veterans*1|
as veterans |and*1|
veterans and |they*1|
they come |back*1|in*1|up*1|
back home |to*1|
home to |civilian*1|
to civilian |life*1|
civilian life |our*1|
life our |veterans*1|
our veterans |have*1|our*1|
veterans our |veterans*1|
veterans have |not*1|
have not |been*1|
been treated |fairly*1|
treated fairly |or*1|
fairly or |justly*1|
or justly |these*1|
justly these |are*1|
are our |great*1|leaders*1|
great people |and*2|steve*1|the*1|
must treat |them*1|
treat them |fairly*1|really*1|
them fairly |we*1|
fairly we |must*1|
must even |treat*1|
even treat |them*1|
them really |really*1|
really well |and*1|
well and |that*1|we’re*1|
will happen |and*1|under*1|we*1|
happen under |the*1|
under the |trump*1|
the trump |administration*1|building*1|
administration finally |we*1|
finally we |must*1|
must develop |a*1|
a foreign |country*1|policy*4|
based on |american*1|america’s*1|competence*2|shared*1|
interests businesses |do*1|
businesses do |not*1|
do not |go*1|play*1|succeed*1|treat*1|
not succeed |when*1|
succeed when |they*1|
they lose |sight*1|
lose sight |of*1|
sight of |their*1|
of their |core*1|respect*1|
their core |interests*1|
core interests |and*1|
and neither |do*1|
neither do |countries*1|
do countries |look*1|
countries look |at*1|
what happened |in*1|is*1|
the 1990s |our*1|
1990s our |embassies*1|
our embassies |in*1|
embassies in |kenya*1|
in kenya |and*1|
kenya and |tanzania*1|
and tanzania |—*1|
tanzania — |and*1|
— and |he*1|i*6|if*1|it*1|i’m*1|i’ve*1|really*1|some*1|then*1|they*2|this*1|we’ll*1|—*1|
this was |a*2|an*1|during*1|not*1|people*1|rubio*1|very*1|
a horrible |time*1|
horrible time |for*1|
us — |believe*1|were*1|
— were |attacked*1|left*1|
attacked and |17*1|weakened*1|
and 17 |brave*1|
17 brave |sailors*1|
brave sailors |were*1|
sailors were |killed*1|
were killed |on*1|
killed on |the*1|
the uss |cole*1|
uss cole |and*1|
cole and |what*1|
did we |beat*1|do*1|
it seemed |we*1|
seemed we |put*1|
we put |more*1|
put more |effort*1|
more effort |into*1|
effort into |adding*1|
into adding |china*1|
adding china |into*1|
china into |the*1|
trade organization |which*1|
organization which |has*1|
disaster for |the*2|
states frankly |we*1|
frankly we |spent*1|
spent more |time*1|
more time |on*1|
that than |we*1|
than we |did*1|have*1|
we did |in*1|
did in |stopping*1|
in stopping |al*1|
stopping al |qaeda*1|
al qaeda |we*1|
qaeda we |even*1|
we even |had*1|
even had |an*1|
had an |opportunity*1|
an opportunity |to*1|
out osama |bin*1|
osama bin |laden*1|
bin laden |and*1|
laden and |we*1|
we didn’t |do*1|
didn’t do |it*1|
got hit |at*1|
hit at |the*1|
the pentagon |again*1|
pentagon again |the*1|
the worst |attack*1|crisis*1|i*1|since*1|
worst attack |on*1|
attack on |our*1|
country in |its*1|
its history |our*1|
history our |foreign*1|
goals must |be*2|
be based |on*1|
on america’s |core*1|
america’s core |national*1|
core national |security*1|
national security |interests*1|
security interests |and*1|
the following |will*1|
following will |be*1|
be my |first*2|priorities*1|
my priorities |in*1|
priorities in |the*1|
east our |goals*1|
our goals |must*1|
be and |i*1|
mean must |be*1|
be to |defeat*1|
to defeat |terrorists*1|
defeat terrorists |and*1|
terrorists and |promote*1|
and promote |regional*1|
promote regional |stability*1|
regional stability |not*1|
stability not |radical*1|
not radical |change*1|
radical change |we*1|
change we |need*1|
be clearsighted |about*1|
clearsighted about |the*1|
the groups |that*1|
groups that |no*1|will*1|
never be |able*1|anything*1|
be anything |other*1|
anything other |than*1|
than enemies |and*1|
enemies and |believe*1|
me we |have*1|
have groups |that*1|
that no |matter*1|
no matter |what*1|
matter what |you*1|
what you |do*1|want*1|
you do |they*1|
enemy we |have*1|
smart enough |to*1|
enough to |recognize*1|
to recognize |who*1|
recognize who |those*1|
who those |groups*1|people*1|
those groups |are*1|
groups are |who*1|
are who |those*1|
are and |a*1|not*1|
not help |them*1|
help them |and*1|
must only |be*1|fight*1|
only be |generous*1|
be generous |to*1|
generous to |those*1|
to those |that*1|
those that |prove*1|
that prove |they*1|
prove they |are*1|
are indeed |our*1|
indeed our |friends*1|
friends we |desire*1|
we desire |to*1|
desire to |live*1|
to live |peacefully*1|
live peacefully |and*1|
peacefully and |in*1|
in friendship |with*1|
friendship with |russia*1|
with russia |and*1|from*1|with*1|
russia and |china*1|
and china |we*1|
china we |have*1|
have serious |differences*1|
serious differences |with*1|
differences with |these*1|
with these |people*1|two*1|
these two |nations*1|
two nations |and*1|
nations and |must*1|
and must |regard*1|
must regard |them*1|
regard them |with*1|
them with |open*1|
with open |eyes*1|
open eyes |but*1|
eyes but |we*1|
not bound |to*1|
bound to |be*1|
be adversaries |we*1|
adversaries we |should*1|
should seek |common*1|
seek common |ground*1|
common ground |based*1|
ground based |on*1|
on shared |interests*1|
interests russia |for*1|
russia for |instance*1|
instance has |also*1|
has also |seen*1|
also seen |the*1|
seen the |horror*1|
the horror |of*1|
horror of |islamic*1|
of islamic |terrorism*1|
islamic terrorism |i*2|is*1|
terrorism i |believe*1|will*1|
i believe |an*1|
believe an |easing*1|
an easing |of*1|
easing of |tensions*1|
of tensions |and*1|
tensions and |improved*1|
and improved |relations*1|
improved relations |with*1|
relations with |china*1|russia*1|
russia from |a*1|
from a |position*1|
position of |strength*1|
of strength |although*1|only*1|right*1|
strength only |is*1|
only is |possible*1|
is possible |absolutely*1|
possible absolutely |possible*1|
absolutely possible |common*1|
possible common |sense*1|
common sense |it*1|says*1|they’re*1|
sense says |this*1|
says this |cycle*1|
this cycle |this*1|
cycle this |horrible*1|
this horrible |cycle*1|
horrible cycle |of*1|
cycle of |hostility*1|
of hostility |must*1|
hostility must |end*1|
must end |and*1|
end and |ideally*1|
and ideally |will*1|
ideally will |end*1|
will end |soon*1|
end soon |good*1|
soon good |for*1|
good for |both*1|russia*1|women*1|women’s*1|
for both |countries*1|
both countries |some*1|
countries some |say*1|
some say |the*1|
russians won’t |be*1|
won’t be |reasonable*1|that*1|
be reasonable |i*1|
reasonable i |intend*1|
i intend |to*1|
intend to |find*1|
find out |fixing*1|if*1|
out if |we*1|
we can’t |even*1|let*2|make*1|sustain*1|they*1|
can’t make |a*4|
deal under |my*1|
under my |administration*2|
administration a |deal*1|
deal that’s |great*1|
that’s great |—*1|
great — |all*1|for*1|not*1|
— not |good*1|that*1|
good great |—*1|
— for |a*1|america*1|many*1|millions*1|
for america |but*1|
america but |also*1|
but also |good*1|
also good |for*1|
for russia |then*1|
russia then |we*1|
will quickly |walk*1|
quickly walk |from*1|
walk from |the*1|
table it’s |as*1|
it’s as |simple*1|
as simple |as*1|
simple as |that*1|
as that |we’re*1|
that we’re |going*2|inaudible*1|putting*1|running*1|talking*1|
out fixing |our*1|
our relations |with*1|
with china |a*1|and*1|is*1|
another important |step*1|
important step |—*1|
step — |and*1|
and really |probably*1|toward*1|
really toward |creating*1|
toward creating |an*1|
creating an |even*1|
even more |prosperous*1|
more prosperous |period*1|
prosperous period |of*1|
time china |respects*1|
china respects |strength*1|
respects strength |and*1|
strength and |by*1|
by letting |them*1|
letting them |take*1|
them take |advantage*1|
take advantage |of*2|
advantage of |the*1|us*2|
of us |economically*1|i*1|
us economically |the*1|they*1|which*1|
economically which |they*1|
which they |are*1|
doing like |never*1|
like never |before*1|
never before |we*1|
have lost |all*1|
lost all |of*1|
their respect |we*1|
respect we |have*1|
massive trade |deficit*1|
china a |deficit*1|
a deficit |that*1|
deficit that |we*1|
find a |better*1|way*1|
a way |quickly*1|
way quickly |and*1|
quickly and |i*1|
mean quickly |to*1|
quickly to |balance*1|
to balance |a*1|
balance a |strong*1|
and smart |america*1|
smart america |is*1|
is an |amazing*1|america*1|
an america |that*1|
america that |will*1|
will find |a*1|
better friend |in*1|
friend in |china*1|
in china |better*1|
china better |than*1|
have right |now*1|
now look |at*1|
what china |is*1|
doing in |the*1|
the south |china*2|
south china |sea*2|
china sea |a*1|they’re*1|
sea they’re |not*1|
they’re not |going*1|good*2|sending*3|so*1|supposed*2|
not supposed |to*2|
supposed to |be*2|disavow*1|dislike*1|
be doing |it*1|so*1|that*1|
it no |respect*1|
for this |country*3|guy*1|
country or |its*1|this*1|
or this |president*1|
president we |can*1|
can both |benefit*1|go*1|
both benefit |or*1|
benefit or |we*1|
or we |can*1|
both go |our*1|
go our |separate*1|
our separate |ways*1|
separate ways |if*1|
ways if |need*1|
if need |be*1|
need be |that’s*1|
be that’s |what’s*1|
that’s what’s |going*1|happening*1|
what’s going |on*1|to*3|
happen after |i’m*2|
after i’m |called*2|elected*1|
also call |for*1|
call for |a*1|
a summit |with*1|
summit with |our*2|
our nato |allies*1|
nato allies |and*1|
allies and |a*1|
and a |lot*1|place*1|separate*1|woman*1|
a separate |summit*1|
separate summit |with*1|
our asian |allies*1|
asian allies |in*1|
in these |summits*1|
these summits |we*1|
summits we |will*1|
not only |did*1|discuss*1|
only discuss |a*1|
discuss a |rebalancing*1|
a rebalancing |of*1|
rebalancing of |financial*1|
of financial |commitments*1|
financial commitments |but*1|
commitments but |take*1|
but take |a*1|
a fresh |look*1|
fresh look |at*1|
at how |we*1|
can adopt |new*1|
adopt new |strategies*1|
new strategies |for*1|
strategies for |tackling*1|
for tackling |our*1|
tackling our |common*1|
common challenges |for*1|
challenges for |instance*1|
instance we |will*1|
will discuss |how*1|
discuss how |we*1|
can upgrade |nato’s*1|
upgrade nato’s |outdated*1|
nato’s outdated |mission*1|
outdated mission |and*1|
mission and |structure*1|
and structure |grown*1|
structure grown |out*1|
grown out |of*1|
war to |confront*1|
to confront |our*1|
confront our |shared*1|
our shared |challenges*1|
shared challenges |including*1|
challenges including |migration*1|
including migration |and*1|
migration and |islamic*1|
and islamic |terrorism*1|
not hesitate |to*1|
hesitate to |deploy*1|
to deploy |america’s*1|military*1|
deploy military |force*1|
force when |there*1|
when there |is*1|
there is |always*1|no*1|so*1|
is no |alternative*1|
no alternative |but*1|
alternative but |if*1|
but if |america*1|you*1|
if america |fights*1|
america fights |it*1|
fights it |must*1|
it must |only*1|
only fight |to*1|
fight to |win*1|
never sent |our*1|
sent our |finest*1|
our finest |into*1|
finest into |battle*1|
into battle |unless*1|
battle unless |necessary*1|
unless necessary |and*1|
necessary and |i*1|will*1|
mean absolutely |necessary*1|
absolutely necessary |and*1|
and will |never*1|only*1|
will only |do*1|
only do |so*1|
do so |if*1|
a plan |for*1|that*2|
plan for |victory*1|
for victory |with*1|
victory with |a*1|
a capital |v*1|
capital v |our*1|
v our |goal*1|
our goal |is*1|
goal is |peace*1|to*1|
is peace |and*1|
peace and |prosperity*1|
and prosperity |not*1|
prosperity not |war*1|
not war |and*1|
and destruction |the*1|
destruction the |best*1|
best way |to*1|
to achieve |these*1|those*1|
achieve those |goals*1|
those goals |is*1|
goals is |through*1|
is through |a*1|
through a |disciplined*1|
a disciplined |deliberate*1|
disciplined deliberate |and*1|
deliberate and |consistent*1|
and consistent |foreign*1|
consistent foreign |policy*1|
policy with |president*1|
with president |obama*1|
obama and |our*1|secretary*1|
and secretary |clinton*1|
secretary clinton |we’ve*1|
clinton we’ve |had*1|
had the |exact*1|
the exact |opposite*1|same*1|
exact opposite |—*1|
opposite — |a*1|
— a |net*1|reckless*1|sign*1|
a reckless |rudderless*1|
reckless rudderless |and*1|
rudderless and |aimless*1|
and aimless |foreign*1|
aimless foreign |policy*1|
that has |blazed*1|
has blazed |the*1|
blazed the |path*1|
the path |of*1|
path of |destruction*1|
of destruction |in*1|
destruction in |its*1|
its wake |after*1|
wake after |losing*1|
after losing |thousands*1|
losing thousands |of*1|
and spending |trillions*1|
spending trillions |of*1|
dollars we |are*1|
in far |worst*1|
far worst |shape*1|
worst shape |in*1|
shape in |the*1|
east than |ever*1|
before i |challenge*1|even*1|say*1|
i challenge |anyone*1|
challenge anyone |to*1|
anyone to |explain*1|
to explain |the*1|
explain the |strategic*1|
the strategic |foreign*1|
strategic foreign |policy*1|
policy vision |of*1|
vision of |obamaclinton*1|
of obamaclinton |it*1|
obamaclinton it |has*1|
disaster i |will*1|
deploy america’s |economic*1|
america’s economic |resources*1|
economic resources |financial*1|
resources financial |leverage*1|
financial leverage |and*1|
leverage and |sanctions*1|
and sanctions |can*1|
sanctions can |be*1|
very persuasive |but*1|
persuasive but |we*1|
use them |selectively*1|we*1|
them selectively |and*1|
selectively and |with*1|
with total |determination*1|
total determination |our*1|
determination our |power*1|
our power |will*1|
power will |be*1|
be used |if*1|
used if |others*1|
if others |do*1|
others do |not*1|
not play |by*1|
play by |the*1|
the rules |in*1|
rules in |other*1|
in other |words*1|
other words |if*1|
words if |they*1|
if they |could*1|could—they*1|do*1|
not treat |us*1|
treat us |fairly*1|
us fairly |our*1|
fairly our |friends*1|
and enemies |must*1|
enemies must |know*1|
must know |that*3|
i draw |a*1|
draw a |line*1|
a line |in*1|
sand i |will*1|
will enforce |that*1|
enforce that |line*1|
that line |in*1|
sand believe |me*1|
me however |unlike*1|
however unlike |other*1|
unlike other |candidates*1|
other candidates |amount*1|and*1|for*1|
candidates for |the*1|
presidency war |and*1|
and aggression |will*1|
aggression will |not*1|
my first |instinct*1|priority*1|
first instinct |you*1|
instinct you |cannot*1|
you cannot |have*1|
cannot have |a*1|
policy without |diplomacy*1|
without diplomacy |a*1|
diplomacy a |superpower*1|
a superpower |understands*1|
superpower understands |that*1|
understands that |caution*1|
that caution |and*1|
caution and |restraint*1|
and restraint |are*1|
restraint are |really*1|
are really |the*1|truly*1|
really truly |signs*1|
truly signs |of*1|
signs of |strength*1|
strength although |not*1|
although not |in*1|
not in |government*1|terms*1|
in government |service*1|
government service |i*1|
service i |was*1|
was totally |against*1|
totally against |the*2|
the war |in*1|
iraq very |proudly*1|
very proudly |saying*1|
proudly saying |for*1|
for many |many*1|years*1|
many years |that*1|
years that |it*1|
that it |was*2|would*1|
would destabilize |the*1|
destabilize the |middle*2|
east sadly |i*1|
sadly i |was*1|
was correct |and*1|
correct and |the*1|
the biggest |bank*1|beneficiary*1|
biggest beneficiary |has*1|
beneficiary has |been*1|
been has |been*1|
been iran |who*1|
iran who |is*1|
is systematically |taking*1|
systematically taking |over*1|
taking over |iraq*3|
over iraq |and*2|think*1|
iraq and |gaining*1|they’re*1|
and gaining |access*1|
gaining access |to*1|
access to |their*1|
their very |rich*1|
very rich |oil*1|
rich oil |reserves*1|
oil reserves |something*1|
reserves something |it*1|
something it |has*1|
has wanted |to*1|
wanted to |do*4|make*1|
do for |decades*1|
decades and |now*1|
now to |top*1|
to top |it*1|
top it |off*1|
it off |we*1|
off we |have*1|
have isis |my*1|
isis my |goal*1|
my goal |is*1|
is to |establish*1|
to establish |a*1|
establish a |foreign*1|
policy that |all*1|will*1|
will endure |for*1|
endure for |several*1|
for several |generations*1|
several generations |that’s*1|
generations that’s |why*1|
that’s why |i*1|
why i |also*1|
i also |did*1|look*1|
also look |and*1|
look and |have*1|
for talented |experts*1|
talented experts |with*1|
experts with |approaches*1|
with approaches |and*1|
approaches and |practical*1|
and practical |ideas*1|
practical ideas |rather*1|
ideas rather |than*1|
rather than |surrounding*1|
than surrounding |myself*1|
surrounding myself |with*1|
myself with |those*1|
with those |who*1|
those who |have*1|
who have |perfect*1|
have perfect |résumés*1|
perfect résumés |but*1|
résumés but |very*1|
but very |little*1|
very little |to*1|
little to |brag*1|
to brag |about*1|because*1|i*1|
brag about |except*1|
about except |responsibility*1|
except responsibility |for*1|
responsibility for |a*1|
long history |of*1|
of failed |policies*1|
failed policies |and*1|
policies and |continued*1|
and continued |losses*1|
continued losses |at*1|
losses at |war*1|
at war |we*1|
war we |have*1|
look to |new*2|
to new |people*2|
new people |because*1|we*1|
people because |many*1|
because many |of*1|
old people |frankly*1|
people frankly |don’t*1|
frankly don’t |know*1|
don’t know |anything*1|because*1|how*2|i*1|if*2|that*1|what*4|what’s*1|—*1|
what they’re |doing*4|saying*1|
they’re doing |even*1|so*1|they*1|we*1|
doing even |though*1|
even though |they*1|
though they |may*1|
they may |even*1|look*1|
may look |awfully*1|
look awfully |good*1|
awfully good |i*1|writing*1|
good writing |in*1|
writing in |the*1|
the new |china*1|england*1|york*2|
york times |or*1|
times or |being*1|
or being |watched*1|
being watched |on*1|
watched on |television*1|
television finally |i*1|
finally i |will*1|
will work |with*1|
work with |our*1|
allies to |reinvigorate*1|
to reinvigorate |western*1|
reinvigorate western |values*1|
western values |and*1|
values and |institutions*1|
and institutions |instead*1|
institutions instead |of*1|
of trying |to*1|
to spread |universal*1|
spread universal |values*1|
universal values |that*1|
values that |not*1|
not everybody |shares*1|
everybody shares |or*1|
shares or |wants*1|
or wants |we*1|
wants we |should*1|
should understand |that*1|
understand that |and*1|strengthening*1|you’re*1|
that strengthening |and*1|
strengthening and |promoting*1|
and promoting |western*1|
promoting western |civilization*1|
western civilization |and*1|
civilization and |its*1|
its accomplishments |will*1|
accomplishments will |do*1|
will do |more*1|very*1|
do more |to*1|
more to |inspire*1|
to inspire |positive*1|
inspire positive |reforms*1|
positive reforms |around*1|
reforms around |the*1|
around the |world*1|
world than |military*1|
than military |interventions*1|
military interventions |these*1|
interventions these |are*1|
are my |goals*1|
my goals |as*1|
goals as |president*1|
as president |i*2|the*1|
will seek |a*1|
seek a |foreign*1|
that all |about*1|americans*1|
all americans |whatever*1|
americans whatever |their*1|
whatever their |party*1|
their party |can*1|
party can |support*1|
can support |so*1|
support so |important*1|
and which |our*1|
which our |friends*1|
allies will |respect*1|
will respect |and*1|
respect and |totally*1|
and totally |welcome*1|
totally welcome |the*1|
welcome the |world*1|
world must |know*1|
not go |abroad*1|
go abroad |in*1|
abroad in |search*1|
in search |of*1|
search of |enemies*1|
of enemies |that*1|
enemies that |we*1|
always happy |when*1|
happy when |old*1|
when old |enemies*1|friends*1|
old enemies |become*1|
enemies become |friends*1|
become friends |and*1|
old friends |become*1|
friends become |allies*1|
become allies |that’s*1|
allies that’s |what*1|
that’s what |i’ve*1|we*2|
want we |want*1|
want them |to*1|
be our |allies*1|
allies we |want*1|
want the |world*1|
world to |achieve*1|be*1|
be — |and*1|they’ll*1|we*2|
— we |are*1|have*1|need*2|ought*1|want*1|would*1|
to bring |in*1|it*1|money*1|peace*1|
bring peace |to*1|
peace to |the*1|
world too |much*1|
much destruction |out*1|
destruction out |there*1|
out there |that*1|too*1|we’re*1|
there too |many*1|
too many |destructive*1|
many destructive |weapons*1|
destructive weapons |the*1|
weapons the |power*1|
power of |weaponry*1|
of weaponry |is*1|
weaponry is |the*1|
single biggest |problem*1|
biggest problem |that*1|
problem that |we*1|
have today |in*1|
today in |kentucky*1|the*1|
achieve these |goals*1|
these goals |americans*1|
goals americans |must*1|
americans must |have*1|know*1|wonder*1|
must have |confidence*1|
have confidence |in*1|
confidence in |their*1|
in their |country*1|
their country |and*1|
its leadership |again*1|has*1|
leadership again |many*1|
again many |americans*1|
many americans |must*1|
must wonder |why*1|
wonder why |we*1|
why we |our*1|
we our |politicians*1|
politicians seem |more*1|
seem more |interested*1|
more interested |in*1|
interested in |defending*1|yemen*1|
in defending |the*1|their*1|
defending the |borders*1|
the borders |of*1|
borders of |foreign*1|
of foreign |countries*1|
countries than |in*1|
than in |defending*1|
defending their |own*1|
their own |americans*1|
own americans |americans*1|
americans americans |must*1|
we’re putting |the*1|
putting the |american*1|
people first |again*1|
again on |trade*1|
on trade |absolutely*1|and*1|on*1|so*1|
trade so |true*1|
so true |on*1|
true on |trade*1|
trade on |immigration*1|
immigration on |foreign*1|
on foreign |policy*1|
policy the |jobs*1|
jobs incomes |and*1|
incomes and |security*1|
security of |the*1|
american worker |will*1|
worker will |always*1|
first priority |no*1|
priority no |country*1|
no country |can*1|has*1|
country has |and*1|ever*1|tremendous*1|
ever prospered |that*1|
prospered that |failed*1|
that failed |to*1|
put its |own*1|
its own |interests*1|
own interests |first*1|
interests first |both*1|
first both |our*1|
both our |friends*1|
enemies put |their*1|
put their |countries*1|
their countries |above*1|
countries above |ours*1|
above ours |and*1|
ours and |we*1|
we while |being*1|
while being |fair*1|
being fair |to*1|
them must |start*1|
must start |doing*1|
start doing |the*1|
doing the |same*1|
same we |will*1|
will no |longer*1|
longer surrender |this*1|
surrender this |country*1|
or its |people*1|
its people |they’re*1|to*1|
people to |go*1|negotiate*1|the*1|vote*1|
the false |song*1|
false song |of*1|
song of |globalism*1|
of globalism |the*1|
globalism the |nationstate*1|
the nationstate |remains*1|
nationstate remains |the*1|
remains the |true*1|
true foundation |for*1|
foundation for |happiness*1|
for happiness |and*1|
happiness and |harmony*1|
and harmony |i*1|
harmony i |am*1|
am skeptical |of*1|
skeptical of |international*1|
of international |unions*1|
international unions |that*1|
unions that |tie*1|
that tie |us*1|
tie us |up*1|
us up |and*1|
and bring |america*1|in*1|
bring america |down*1|
america down |and*1|
down and |will*1|
never enter |america*1|and*1|
enter and |under*1|
administration we |got*1|will*1|
enter america |into*1|
america into |any*1|
into any |agreement*1|
any agreement |that*1|
agreement that |reduces*1|
that reduces |our*1|
reduces our |ability*1|
our ability |to*1|
ability to |control*1|
to control |our*1|
control our |own*1|
own affairs |nafta*1|
affairs nafta |as*1|
nafta as |an*1|
example has |been*1|
and has |emptied*1|
has emptied |our*1|
emptied our |states*2|
our states |of*1|—*1|
states — |and*1|literally*1|
— literally |emptied*1|
literally emptied |our*1|
states of |our*1|
manufacturing and |our*1|
our jobs |and*4|can*1|from*1|they*2|
i’ve just |gotten*1|
just gotten |to*1|
gotten to |see*1|
see it |i’ve*1|
it i’ve |toured*1|
i’ve toured |new*1|pennsylvania*1|so*1|
toured pennsylvania |i’ve*1|
pennsylvania i’ve |toured*1|
toured new |york*1|
york i’ve |toured*1|
toured so |many*1|
the states |they*1|—*1|
states they |have*1|
been cleaned |out*1|
cleaned out |their*1|
out their |manufacturing*1|
their manufacturing |is*1|
manufacturing is |gone*1|
is gone |never*1|theyre*1|
gone never |again*1|
never again |only*2|under*1|
again only |the*2|
only the |reverse*2|
the reverse |will*1|—*1|
reverse — |and*1|
say this |i*1|look*1|strongly*1|this*1|
this strongly |—*1|
strongly — |never*1|
— never |again*1|
reverse will |happen*1|
happen we |will*1|
will keep |our*1|
keep our |equipment*2|jobs*1|
bring in |new*1|so*1|
in new |hampshire*2|ones*1|
new ones |there*1|
ones there |will*1|
there will |be*2|
be consequences |for*2|
consequences for |the*1|those*1|
the companies |that*2|
companies that |are*1|leave*1|
that leave |the*1|
states only |to*1|
only to |exploit*1|
to exploit |it*1|
exploit it |later*1|
it later |they*1|
later they |fire*1|
they fire |the*1|
fire the |people*1|
they take |advantage*1|our*2|
states there |will*1|
those companies |never*1|
companies never |again*1|
again under |a*1|
administration no |american*1|
american citizen |will*1|
citizen will |ever*1|
will ever |again*1|
ever again |feel*1|
again feel |that*1|
feel that |their*1|
that their |needs*1|
their needs |come*1|
needs come |second*1|
come second |to*1|
second to |the*1|
the citizens |of*1|
citizens of |a*1|
foreign country |i*1|
country i |love*1|think*1|will*1|
will view |as*1|
view as |president*1|
president the |world*1|
world through |the*1|
the clear |lens*1|
clear lens |of*1|
lens of |american*1|
interests i |will*1|
be america’s |greatest*1|
america’s greatest |defender*1|
greatest defender |and*1|
defender and |most*1|
and most |loyal*1|prosperous*1|
most loyal |champion*1|people*1|
loyal champion |we*1|
champion we |will*1|
not apologize |for*1|
apologize for |becoming*1|
for becoming |successful*1|
becoming successful |again*1|
successful again |but*1|
again but |will*1|with*1|
but will |instead*1|
will instead |embrace*1|
instead embrace |the*1|
embrace the |unique*1|
the unique |heritage*1|
unique heritage |that*1|
heritage that |makes*1|
that makes |us*1|
makes us |who*1|
us who |we*1|
who we |are*1|
is most |peaceful*1|
most peaceful |and*2|
peaceful and |most*1|prosperous*1|
most prosperous |when*1|
prosperous when |america*1|
when america |is*1|
is strongest |america*1|
strongest america |will*1|
america will |continue*1|
will continue |and*1|
continue and |continue*1|
and continue |forever*1|
continue forever |to*1|
forever to |play*1|
to play |that’s*1|the*2|
play the |role*2|
the role |of*1|we*1|
role of |peacemaker*1|
of peacemaker |we*1|
peacemaker we |will*1|
always help |save*1|
help save |lives*1|
save lives |and*1|
indeed humanity |itself*1|
humanity itself |but*1|
itself but |to*1|
role we |must*1|
must make |america*3|and*1|
america strong |again*1|
and always |—*1|
always — |always*1|
— always |always*1|
always always |we*1|
always we |must*1|
make and |we*1|
at it |from*1|probably*1|
